 , , , , , , , , , , , , , , , 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 ,▀,▀, , ,▀,▀, , ,▀,▀, , ,▀,▀, 
 , , , , , , , , , , , , , , , 
