Iteracion,Temperatura
0,49.93174808237114
1,49.86358933122749
2,49.79552361939321
3,49.72755081986608
4,49.65967080581724
5,49.59188345059095
6,49.52418862770436
7,49.456586210847284
8,49.389076073881945
9,49.32165809084275
10,49.25433213593606
11,49.18709808353994
12,49.11995580820393
13,49.05290518464884
14,48.98594608776647
15,48.9190783926194
16,48.85230197444075
17,48.78561670863396
18,48.71902247077255
19,48.652519136599885
20,48.58610658202894
21,48.51978468314207
22,48.4535533161908
23,48.38741235759556
24,48.321361683945476
25,48.255401171998145
26,48.18953069867938
27,48.123750141082986
28,48.058059376470574
29,47.992458282271265
30,47.92694673608151
31,47.86152461566484
32,47.79619179895165
33,47.73094816403895
34,47.665793589190166
35,47.6007279528349
36,47.535751133568695
37,47.47086301015282
38,47.40606346151403
39,47.34135236674436
40,47.27672960510089
41,47.21219505600551
42,47.14774859904472
43,47.08339011396936
44,47.01911948069444
45,46.95493657929889
46,46.89084129002532
47,46.826833493279835
48,46.76291306963177
49,46.6990798998135
50,46.63533386472019
51,46.57167484540961
52,46.50810272310188
53,46.44461737917925
54,46.3812186951859
55,46.31790655282771
56,46.25468083397202
57,46.19154142064743
58,46.128488195043595
59,46.06552103951096
60,46.00263983656058
61,45.93984446886389
62,45.87713481925246
63,45.81451077071783
64,45.751972206411246
65,45.689519009643455
66,45.62715106388449
67,45.56486825276346
68,45.502670460068316
69,45.44055756974565
70,45.37852946590046
71,45.31658603279596
72,45.254727154853335
73,45.19295271665155
74,45.131262602927116
75,45.069656698573894
76,45.00813488864286
77,44.9466970583419
78,44.885343093035594
79,44.82407287824502
80,44.762886299647505
81,44.70178324307644
82,44.640763594521054
83,44.57982724012621
84,44.51897406619217
85,44.45820395917443
86,44.397516805683466
87,44.33691249248452
88,44.276390906497426
89,44.215951934796365
90,44.15559546460966
91,44.09532138331959
92,44.03512957846215
93,43.97501993772685
94,43.91499234895651
95,43.85504670014706
96,43.795182879447296
97,43.73540077515872
98,43.6757002757353
99,43.616081269783265
100,43.556543646060895
101,43.49708729347832
102,43.43771210109733
103,43.37841795813113
104,43.31920475394416
105,43.26007237805189
106,43.20102072012059
107,43.14204966996715
108,43.08315911755886
109,43.02434895301321
110,42.96561906659769
111,42.90696934872957
112,42.8483996899757
113,42.78990998105233
114,42.731500112824875
115,42.67316997630772
116,42.61491946266402
117,42.5567484632055
118,42.49865686939225
119,42.44064457283252
120,42.38271146528251
121,42.32485743864619
122,42.26708238497508
123,42.20938619646806
124,42.15176876547115
125,42.094229984477316
126,42.0367697461263
127,41.97938794320439
128,41.9220844686442
129,41.864859215524525
130,41.80771207707009
131,41.750642946651396
132,41.69365171778447
133,41.6367382841307
134,41.57990253949665
135,41.52314437783382
136,41.46646369323849
137,41.409860379951475
138,41.35333433235798
139,41.29688544498737
140,41.24051361251298
141,41.18421872975192
142,41.12800069166489
143,41.07185939335595
144,41.015794730072365
145,40.95980659720439
146,40.903894890285066
147,40.84805950499005
148,40.792300337137384
149,40.73661728268735
150,40.68101023774223
151,40.62547909854613
152,40.5700237614848
153,40.51464412308541
154,40.45934008001639
155,40.40411152908721
156,40.3489583672482
157,40.29388049159037
158,40.2388777993452
159,40.18395018788443
160,40.12909755471992
161,40.07431979750342
162,40.01961681402639
163,39.96498850221981
164,39.910434760153976
165,39.85595548603834
166,39.801550578221295
167,39.74721993518999
168,39.69296345557014
169,39.63878103812584
170,39.58467258175939
171,39.530637985511085
172,39.47667714855902
173,39.422789970218936
174,39.368976349944
175,39.31523618732463
176,39.261569382088304
177,39.207975834099386
178,39.15445544335893
179,39.10100811000447
180,39.04763373430989
181,38.99433221668517
182,38.94110345767626
183,38.88794735796486
184,38.83486381836824
185,38.78185273983906
186,38.72891402346519
187,38.6760475704695
188,38.62325328220972
189,38.570531060178205
190,38.5178808060018
191,38.46530242144161
192,38.41279580839287
193,38.360360868884705
194,38.30799750507998
195,38.25570561927512
196,38.20348511389991
197,38.15133589151733
198,38.09925785482336
199,38.0472509066468
200,37.995314949949105
201,37.94344988782418
202,37.89165562349822
203,37.8399320603295
204,37.78827910180824
205,37.736696651556386
206,37.68518461332744
207,37.63374289100631
208,37.58237138860906
209,37.53107001028282
210,37.479838660305525
211,37.42867724308581
212,37.37758566316277
213,37.32656382520582
214,37.275611634014496
215,37.2247289945183
216,37.173915811776496
217,37.12317199097795
218,37.07249743744095
219,37.02189205661303
220,36.97135575407078
221,36.9208884355197
222,36.87049000679399
223,36.82016037385641
224,36.76989944279806
225,36.71970711983823
226,36.66958331132426
227,36.61952792373128
228,36.56954086366213
229,36.51962203784709
230,36.46977135314381
231,36.419988716537055
232,36.37027403513856
233,36.32062721618686
234,36.271048167047105
235,36.221536795210916
236,36.17209300829617
237,36.12271671404687
238,36.07340782033292
239,36.02416623515001
240,35.97499186661942
241,35.92588462298784
242,35.8768444126272
243,35.827871144034525
244,35.77896472583173
245,35.73012506676547
246,35.681352075706954
247,35.63264566165181
248,35.58400573371986
249,35.53543220115501
250,35.48692497332503
251,35.43848395972142
252,35.39010906995921
253,35.34180021377683
254,35.293557301035904
255,35.245380241721115
256,35.19726894594
257,35.149223323922826
258,35.101243286022374
259,35.053328742713816
260,35.00547960459452
261,34.957695782383894
262,34.90997718692322
263,34.86232372917548
264,34.814735320225196
265,34.76721187127827
266,34.7197532936618
267,34.672359498823944
268,34.625030398333706
269,34.57776590388083
270,34.5305659272756
271,34.48343038044868
272,34.436359175450946
273,34.38935222445333
274,34.342409439746675
275,34.295530733741515
276,34.248716018967976
277,34.20196520807556
278,34.155278213833036
279,34.108654949128216
280,34.062095326967835
281,34.01559926047739
282,33.969166662900946
283,33.922797447601006
284,33.876491528058324
285,33.83024881787177
286,33.78406923075815
287,33.73795268055205
288,33.69189908120566
289,33.64590834678866
290,33.599980391487996
291,33.55411512960778
292,33.50831247556908
293,33.46257234390979
294,33.41689464928447
295,33.371279306464174
296,33.32572623033629
297,33.28023533590439
298,33.23480653828809
299,33.18943975272285
300,33.14413489455983
301,33.09889187926577
302,33.05371062242277
303,33.00859103972818
304,32.96353304699442
305,32.91853656014883
306,32.873601495233515
307,32.82872776840519
308,32.783915295935
309,32.73916399420841
310,32.69447377972501
311,32.649844569098356
312,32.60527627905586
